Judul,Harga,Harga per m²,Alamat,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater
Dijual Rumah Siap Huni di Perumahan Green Lake Nayura Living Blok.C2 No.21,Rp725 Jt,"Rp6,5 Jt/m²","Kel. Wonorejo, Kec. Rungkut, Kota Surabaya",3 Kamar Tidur,Luas Tanah 111m²,Luas Bangunan 70m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1300,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah RUNGKUT MAPAN TENGAH SURABAYA di DIJUAL RUMAH RUNGKUT MAPAN TENGAH SURABAYA,Rp1 M,"Rp15,9 Jt/m²","Kel. Gunung Anyar, Kec. Gunung Anyar (Gununganyar), Kota Surabaya",3 Kamar Tidur,Luas Tanah 63m²,Luas Bangunan 87m²,Sertifikat Hak Milik,1.05%,10.38%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,0,PDAM,0,1,1,1,0
Dijual Rumah 2 Lantai Full Furnished 4KT Bonus Income Kost di Ketintang Surabaya,"Rp1,8 M","Rp19,1 Jt/m²","Kel. Ketintang, Kec. Gayungan, Kota Surabaya",4 Kamar Tidur,Luas Tanah 94m²,Luas Bangunan 188m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,2,1,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,0,0
Dijual Rumah 2 Lantai di Jalan Rokan,"Rp3,3 M","Rp11,1 Jt/m²","Kel. Wonokromo, Kec. Wonokromo, Kota Surabaya",4 Kamar Tidur,Luas Tanah 300m²,Luas Bangunan 300m²,Sertifikat Hak Milik,1.05%,10.38%,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,4400,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,1,0
"Dijual Rumah Dekat Pasar Turi, Butuh Cepat Jarang Dijual di Dupak",Rp350 Jt,"Rp3,9 Jt/m²","Kel. Dupak, Kec. Krembangan, Kota Surabaya",1 Kamar Tidur,Luas Tanah 90m²,Luas Bangunan 72m²,-,1.05%,10.38%,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,900,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0
Dijual Rumah Cantik Siap Huni 1 Menit Merr di Gunung Anyar,Rp700 Jt,"Rp10,1 Jt/m²","Kel. Gunung Anyar, Kec. Gunung Anyar (Gununganyar), Kota Surabaya",2 Kamar Tidur,Luas Tanah 69m²,Luas Bangunan 50m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Perabot,1,0,1,PDAM,0,0,0,0,0
"Dijual Rumah Murah 2,5 Lt Siap Huni di Jambangan","Rp1,4 M","Rp17,3 Jt/m²","Kel. Jambangan, Kec. Jambangan, Kota Surabaya",5 Kamar Tidur,Luas Tanah 84m²,Luas Bangunan 186m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,1
Dijual Rumah Murah Hook Lingkungan Asri di Griya Kebraon,"Rp1,3 M","Rp11,8 Jt/m²","Kel. Kebraon, Kec. Karangpilang, Kota Surabaya",4 Kamar Tidur,Luas Tanah 110m²,Luas Bangunan 170m²,Sertifikat Hak Milik,1.05%,10.38%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,Perabot,1,0,1,PDAM,0,1,0,0,0
Dijual Rumah Dijual Rumah di Pusat Kota Banyurip SBY di Jln Banyurip,"Rp1,5 M","Rp10,7 Jt/m²","Kel. Banyu Urip, Kec. Sawahan, Kota Surabaya",3 Kamar Tidur,Luas Tanah 140m²,Luas Bangunan 140m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,Perabot,0,0,0,PDAM,0,0,0,0,0
Dijual Rumah Rumah Jln Raya Menur Sby di Jln Raya Menur,"Rp1,5 M","Rp10,9 Jt/m²","Kel. Airlangga, Kec. Gubeng, Kota Surabaya",3 Kamar Tidur,Luas Tanah 137m²,Luas Bangunan 137m²,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,Perabot,0,0,0,PDAM,0,0,0,0,0
