Judul,Harga,Harga per m²,Kamar,Luas Tanah,Luas Bangunan,Kepemilikan Tanah,Pertumbuhan IHPR YoY,Suku Bunga KPR Nasional,Ac,Akses 24/7,Akses mobil,Akses wifi,Atm center,Balkon,Bank,Bathtub,Carport,Cctv,Garasi,Gorden,Gym,Internet berkecepatan,Jogging track,Kamar mandi,Kasur,Keamanan 24 jam,Kitchen set,Kolam publik,Kolam renang,Kompor,Kulkas,Lantai,Lemari pakaian,Listrik,Microwave,Minimarket,Musholla,Oven,Perabot,Pompa air,Restoran,Shower,Sumber air,Taman,Tangki air,Telepon,Tempat parkir,Water heater,Desa,Kecamatan,Kota,log_harga,log_Harga
Dijual Rumah Kawasan Ampel Surabaya di Ampel,16200000000.0,33100000.0,10,489,740,Sertifikat Hak Milik,1.05%,10.38%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kel. Ampel, Kec. Semampir, Kota Surabaya,23.50827707924648,23.50827707924648
Dijual Rumah Puri Mas Surabaya di Gunung Anyar,9700000000.0,36900000.0,4,264,400,Sertifikat Hak Milik,1.05%,10.38%,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,1,0,Kel. Gunung Anyar, Kec. Gunung Anyar (Gununganyar), Kota Surabaya,22.995391722558843,22.995391722558843
Dijual Rumah Minimalis 2 Lantai di Pakuwon Indah Surabaya,2400000000.0,20000000.0,3,120,180,-,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Perabot,0,0,0,PDAM,0,0,0,0,0,Kec. Wiyung, Kota Surabaya,,21.59873457471698,21.59873457471698
"Dijual Rumah Siap Huni 2 Lantai di Sidotopo, Semampir, Surabaya",985000000.0,11700000.0,4,84,115,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2200,0,0,0,0,Perabot,0,0,1,PAM,0,1,0,0,0,Kel. Sidotopo, Kec. Semampir, Kota Surabaya,20.70815220015159,20.70815220015159
Dijual Rumah Imperial Golf Pakuwon Indah di Lontar,15500000000.0,47000000.0,5,330,600,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,5,0,1,0,0,1,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Lontar, Kec. Sambikerep, Kota Surabaya,23.46410586093613,23.46410586093613
Dijual Rumah Baru 2 Lantai 400 Jutaan di Medokan Ayu,417000000.0,11900000.0,2,35,68,Sertifikat Hak Milik,1.05%,10.38%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,2,1,0,0,0,0,0,Perabot,0,0,1,PDAM,0,0,0,0,1,Kel. Penjaringansari (Penjaringan Sari), Kec. Rungkut, Kota Surabaya,19.848596782161156,19.848596782161156
Dijual Rumah Mewah Harga Terbaik Nyaman di Aruba Villa - Grand Island Pakuwon City,6500000000.0,30100000.0,4,216,267,-,1.05%,10.38%,1,0,3,0,0,0,0,0,2,1,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0,6600,0,0,0,0,Perabot,0,0,0,PAM,0,0,0,0,0,Kel. Keputih, Kec. Sukolilo, Kota Surabaya,22.59506801400185,22.59506801400185
Dijual Rumah Mewah Siap Huni di Perumahan Graha Family Surabaya,11000000000.0,26200000.0,4,420,500,Sertifikat Hak Milik,1.05%,10.38%,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,4400,0,0,0,0,Perabot,1,0,0,PAM,0,0,0,0,1,Kel. Wiyung, Kec. Wiyung, Kota Surabaya,23.12116110983569,23.12116110983569
Dijual Rumah 900 Jutaan Lokasi Strategis di Jl Kenjeran Surabaya,900000000.0,17600000.0,3,51,5,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1300,0,0,0,0,Perabot,0,0,0,PAM,0,0,1,0,1,Kel. Bulak Banteng, Kec. Kenjeran, Kota Surabaya,20.617905322399697,20.617905322399697
Dijual Rumah Jalan Khairil Anwar Surabaya di Khairil Anwar,12900000000.0,19800000.0,7,654,1000,Sertifikat Hak Milik,1.05%,10.38%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,2,0,0,0,0,0,0,Perabot,0,0,1,PAM,0,0,0,0,0,Kel. Darmo, Kec. Wonokromo, Kota Surabaya,23.280493148391557,23.280493148391557
